,0,1
49,1,"""When the product got here (took close to 1 month) it did not boot up to start"""
50,1,"""I would not have been able to even hook up windows XP to it"""
51,1,"""In my opinion it is a great waste of money"""
52,2,"""i get tons of illegal operation messages"""
53,2,"""my right mouse button got all messed up and is way too sensitive now"""
54,2,"""the whole mouse thing just gets sensitive sometimes even though i have a cord mouse now"""
55,2,"""the cursor jumps sometimes when i'm typing because of the mouse being so sensitive"""
56,2,"""i have a small hard drive space and need to get it upgraded but the only way to do that is by bringing it back to where i bought it or sending it back to compaq"""
57,2,"""it'll be money wel saved and spent elsewhere on a better computer"""
58,1,"""I contacted Dell and they told me I needed more memory, even though this computer should have had enough memory"""
59,1,"""They refused to send it to me and I was forced to purchase more memory on my own"""
60,1,"""If reliability and customer service are important to you look elsewhere"""
61,1,"""The customer service is awful, and they can't seem to get it right"""
62,1,"""Just this week I ordered a spare battery for the Mdl 700 and they sent the wrong battery"""
63,2,"""You have no option for OS except XP, which is the poorest OS I've used"""
64,2,"""Compaq doesn't provide driver and support for any other OS"""
65,2,"""The refreshing of screen is really bad"""
66,2,"""It has 1 to 2 seconds delay to refresh the screen when you're paging up or down webpages"""
67,2,"""The offer and rebates did not apply from Compaq, but only from an authorized reseller"""
68,2,"""Right out of the box the 700z system had Driver errors and a bad modem"""
69,2,"""Corporate tech support suggested that I return it and buy another through a reseller"""
70,2,"""It never wrote to the hard drive and I couldn't copy to or from other disks onto any other computer"""
71,2,"""I called tech support and they sent out a box for repair pickup and told me the turnaround would be 3-5 days"""
72,2,"""The repair shop failed to recognize that the second system was mine and did not follow through with repairs even when all the proper paperwork was channeled through support on the phone"""
73,2,"""I'm giving it 2 stars since it worked beautifully when it was up and running and the screen was clear and bright"""
74,1,"""This is the PERFECT machine - except for that lousy hard drive"""
75,1,"""Since this process took more than 21 days, Dell penalized me a 10% ""restocking"" fee and made me pay for shipping"""
76,1,"""They were going to take the money and run"""
77,1,"""I sent the seller an e-mail message to let him know that the IBM Thinkpad T23 that he sold me has a bad harddrive"""
78,1,"""I was not requesting my money back from the seller since I waited too long to request a refund from him"""
79,1,"""The difference in size is a big issue"""
80,1,"""The body has a crack in it and there is a hole on the side like a piece of it was removed"""
81,1,"""The ""hole and crack"" makes it impossible for me to give to anyone"""
82,1,"""Dell Latitude CPX Notebook (650-MHz Pentium III, 128 MB RAM, 12 GB hard drive)"""
83,1,"""From the packaging, it was obvious that this laptop was broken when it shipped"""
84,1,"""It looked like it had been dropped on its corner, the case was broken, it was difficult to open the screen and there is a loose piece of something rattling around inside"""
85,1,"""It won't even complete the POST, it starts and then shuts off"""
86,1,"""only saving grace is that I had, and still have the full extended warranty"""
87,1,"""Believe it or not, I actually recently purchased an HP printer, which so far is great"""
88,1,"""but so was this Presario 1700t for the first few months, and the HP Laptop was ok for about a year until it fried the hard drive even with a cooling mat in use 90% of the time"""
89,1,"""I know this is 2009, and I bought the 1700T 8 years ago, but I just dusted it off to use only for email at a remote location, and it reminded me of just how pathetic the product was, and how many problems I had with it"""
90,1,"""First one I received had to be returned because of defective LCD"""
91,1,"""Second one I received had different brand DVD-ROM which caused some problems (not recognizing CD's after I put them in) at first but now it seems to be working"""
92,1,"""The real problem with this machine is that it is made to work only with the software package that Compaq provides (WinXp Home Edition package)"""
93,1,"""My work requires that I use Windows 2000 as well as XP Pro, so I installed them both"""
94,1,"""This computer does NOT work well with Windows 2000"""
95,1,"""The system simply freezes, or hangs with little or no warning, and the only way to get out of it is to turn the power off and on again"""
96,1,"""I tried the same kind of work on my old Dell Inspiron - it does crash sometimes but can be recovered by pressing CTL-ALT-DEL (never freezes like Compaq does), thus you rarely loose your unsaved work"""
97,1,"""Maybe it has to do with the Duron processor because the machine tends to get very hot sometimes (a lot hotter than my other Pentium-based laptops)"""
98,2,"""The screen was very bright for laptops of that era"""
99,2,"""It came with the usual battery and you were able to put a second battery in the futurebay"""
100,2,"""After awhile, I started to notice the fan sounding very loud"""
101,2,"""It seems to have two speeds, normal and the turbo mode which is the laptop equivalent of a jet engine"""
102,2,"""After a year when it was out of warranty I had the very typical problem reported of it overheating and shutting down after a few minutes and the computer was completely useless"""
103,2,"""Since it was out of warranty, I decided to take it to a local small repair shop called CompuRun as I like to support the little guy"""
104,2,"""After paying him a couple of hundred dollars, he correctly determined that this was caused by the heatsink detaching from the processor"""
105,2,"""However, instead of getting the right repair kit sold by Compaq for this he jury-rigged by gluing the heatsink on, a solution that only lasted a few weeks"""
106,2,"""I then wrote a letter to the president of HP at the time, Carly Fiorina and I ordered the repair kit"""
107,2,"""I got the repair kit which cost me something like $70"""
108,2,"""I think his idea of a warranty is a tail-light warranty"""
109,2,"""However, when I got it back from him after he tightened everything up, he claimed the backlite had just coincidently gone out by itself, he could not repair it"""
110,2,"""I then sent the laptop to authorized Compaq repair for about $40 service fee and they told me it would cost $700 to repair it"""
111,2,"""They were able to locate an after market board and repair it for $110"""
112,2,"""I still have a problem where all sounds on the machine sound like they are stuttering at the end of the sentences, but I can live with that"""
113,2,"""So the bottom of line is if you have this repair problem contact HP in writing/calling directly to the president, use an authorized repair shop and stay away from CompuRun in Mountain View"""
114,1,"""I've been waiting for windows vista to come out before I buy a new laptop, so I've had the chance to get very well aquainted with this machine"""
115,1,"""I've figured out how to manage the computer so that it doesn't overheat and die on me--basically, I cannot run anything that takes up a lot of memory"""
116,1,"""I thought it was only my machine at first, but I've found out that the problem is common and that compaq offers a heat sink repair kit that doesn't really work either"""
117,2,"""It comes with CDW and DVD which both come very handy"""
118,1,"""The keyboard will quit working"""
119,1,"""So if you do not want to use your laptop for video or typing this is the perfect machine"""
120,1,"""from its build-in microphone to 512K RAM, hard drive etc"""
121,1,"""I wish I had never wasted my money"""
122,1,"""Sony is clueless and wants to charge for phone supoport and has only responded to 1 of my e-mails"""
123,1,"""The first problem is the battery life"""
124,1,"""The second problem is the default hard drive configuration"""
125,1,"""The third problem is the graphics card"""
126,1,"""It's integrated with the normal memory and has horrible performance"""
127,1,"""The fourth problem that I have is the LCD itself"""
128,2,"""Buy extra hard drive if you have a fleet"""
129,2,"""parts shortage delayed a repair to 30 days"""
130,1,"""Also it eats the battery so fast, that you will not believe"""
131,1,"""until I've got it back from the ' Best Buy -- > Compaq -- > Best Buy ' repair center"""
132,1,"""In addition they replaced the DVD drive (I didn't complain about fixing old one at all)"""
133,1,"""They thought me a good lesson NEVER EVER BUY EXTENDED WARRANTY FROM RETAILER"""
134,1,"""The only good thing about this laptop - it has a cool design"""
135,1,"""This one i barely used for about 20-30 hours, and compaq will do nothing to help me other than send me to a service center"""
136,1,"""It just freezes a lot of times during the day"""
137,1,"""Before buying a presario my advice is to ask or check on Internet about the problems the model presents"""
138,1,""") thus it has no warranty"""
139,1,"""(This was told to me by SeattleLaptop, who've repaired ' over a dozen in the last 7 months '"""
140,1,"""Just had the main board replaced due to a problem in power management and continuous shut down"""
141,1,"""(at my cost since it was 3 mos out of warranty)"""
142,1,"""We have another high end presarion in our small software business"""
143,2,"""It overheats and freezes much too frequently"""
144,2,"""when it actually runs up to speed"""
145,2,"""I still like the AMD, but other hardware issues have plagued my Compaq"""
146,1,"""I totally agree with hardware fan from NY and California and more"""
147,1,"""It was a disaster but I managed to sell it at half the price"""
148,1,"""The hard drive was making all kinds of noises2"""
149,1,"""The famous Toshiba AMR modem went grom 50k to 37k to 28k and finally 7-9kbps3"""
150,1,"""Initially they jerk you off ' it is a software problem"""
151,1,"""Reload the CD's"""
152,1,"""What the ' depot ' does it reformat the hard drive and ship it back the same day"""
153,1,"""Never mind that machine is like a heater or modem does nor work-just reformat it"""
154,1,"""So I am left with a hot piece of plastic, Toshiba has now stopped even reformatting the hard drive though they are willing to send again a box to take this this back to Memphis- where I already know what they do"""
155,1,"""The one star is for audio/video if you want to listen to music or watch movies"""
156,1,"""I think I have a lost cause but I am posting this review so that people who buy Toshibas with their hard-earned money know what they are facing"""
157,2,"""in fact there's something very ' square ' about the entire product design"""
158,2,"""If you leave the computer on for a long time (a couple of weeks), the hard drive starts screaming"""
159,2,"""The power cord connection was always loose in the machine so that I would have to wiggle the cord to ensure a connection"""
160,2,"""Eventually, 1 year and 4 months after I bought the machine, the power connection failed altogether and would only connect sporadically"""
161,2,"""As I write this, the computer is at Sony for repair, and they seem to just want to send me an entire refurbished computer rather than diagnose and fix the problem"""
162,2,"""So, because of problems with the design, overheating, and quality, I cannot recommend that you buy this item"""
163,2,"""One of the lightest you'll find, with a keyboard that is large enough to actually use"""
164,2,"""THe keys falling apart"""
165,2,"""The cd drive door broke"""
166,2,"""Keys getting stuck etc"""
167,2,"""Quite a disappointment for a laptop costing [price]"""
168,2,"""The sound is quite obnoxious, reaching the level of a mainframe disk-drive"""
169,2,"""Unfortunately I bought this thru [a store], with no exchange, nor refund policy for computers other the the option of sending it to Sony to fix this problem"""
170,2,"""Here they are :* The most obnoxious hard disk that ever consigned to a computer"""
171,2,"""* Max out at 512m memory is just NOT good enough"""
172,2,"""NO FIREWIRE port"""
173,2,"""PROS :Other than the big screen, the new laptop offers very little functional features"""
174,2,"""I was impressed with the nice big screen"""
175,2,"""Laptop is quite wide because of the big screen, so in domestic flights it was a pain to use it"""
176,2,"""I use server side software for programming and it tends to write data to disk frequently"""
177,2,"""So get I guess I just have to get used to the constant crackling sound from the harddisk"""
178,2,"""No standard floppy drive"""
179,2,"""The beautiful display does not work with other machines"""
180,2,"""In summary, do not confuse your need to own a 16inch LCD with your laptop needs"""
181,2,"""Buy a good LCD monitor for about $500_2"""
182,2,"""If you are a Sony fan, other Vaio models would be fine"""
183,1,"""First, customer service for Hewlett Packard is deplorable"""
184,1,"""Even with a one year warranty, HP would not fix the problem"""
185,1,"""By the 18th month, the hard-drive crashed completely - beyond repair"""
186,1,"""Customer service was a joke"""
187,1,"""Even with its warranty, HP wouldn't repair it"""
188,2,"""I added 512MB of memory and after 12 months or so the hard drive would not boot so I took out the additional memory and it worked fine for another 3 months"""
189,2,"""Then the hard drive starting acting up, clicking and sputtering along"""
190,2,"""I also had problems with the screen flickering"""
191,1,"""First the battery and ac adaper within the first year and HP was utterly no help"""
192,1,"""I had to wait 8 months for my supplimental warranty to replace them because HP would not"""
193,1,"""Then just after the first year the hard drive crashed for no reason, just stopped spinning"""
194,1,"""Also the keyboard had been unresponsive, even though it has been examned and there is no mechanical problem"""
195,1,"""Same with the sound"""
196,1,"""It has been intermittent for a couple of years and there is no known mechanicl or software cause for this"""
197,2,"""Can not get HP to help me with parts, battery short lived, sent back to HP they fixed nothing"""
198,1,"""Within 3 months the modem melted"""
199,1,"""Best Buy refused to replace the battery which retails for $250 dollars"""
200,1,"""The computer could be on for about 15 minutes before it shut down with severe errors"""
201,1,"""No virus or worm mind you"""
202,2,"""Excessive heat, heft and size chain this to the desktop, because it's too punishing as a mobile device"""
203,2,"""It's a heavy desktop replacement, but can't replace a desktop"""
204,2,"""Memory parity erors"""
205,1,"""(I've forgotten how many times now) to bring it back to factory settings and hopefully get this machine to work"""
206,2,"""The computer is slow and two months later the LCD screen did not worked"""
207,2,"""I claim for repair under warranty to Sony and I had to ship the computer to San Diego,California paying all shipment expenses"""
208,2,"""I did have a slight issue with one of the USB ports starting to be loose, but that was easily fixed"""
209,2,"""After about a year, I started to notice that the machine shut down randomly and unexpectedly"""
210,2,"""I tried replacing the adapter, but that didn't help"""
211,1,"""This notebook is out of date and is way out classed by rivals in the same price range"""
212,1,"""Most notebooks in this price range offer DDR-SDRAM"""
213,1,"""SSE-2 is a feature built into current Intel and future AMD CPUs"""
214,1,"""If you don't have it, software that uses it will run slower"""
215,1,"""If this notebook was half the price I could endorse it"""
216,1,"""At this price it is highway robbery"""
217,1,"""Either look at Toshiba, HP, Gateway or Dell, or move up the Sony price range into one of their newer P4 based notebooks"""
218,1,"""Sound never worked properly, very choppy"""
219,1,"""On month 13, the screen died out"""
220,1,"""Customer care was a joke"""
221,1,"""They wanted me to pay to ship it to Kentucky and then pay for them to diagnose the problem and THEN pay for them to fix the problem and pay to ship it back to me"""
222,1,"""I was told a replacement screen would run upwards of $600"""
223,1,"""They brake, they malfunction, the support is terrible, yes they are nice on the telephone and will send you a box just like IBM, but their tech department will return the machine to you with no corrections but a mere reinstalation of the OS"""
224,1,"""My laptop is under warantee, I have had the product repaired twice, of course I have't been able to obtain an exchange machine"""
225,1,"""Please don't buy Sony if you cherish your time and money"""
226,2,"""The unit was OK but I was not happy that the DVD player did not have the decoder included"""
227,2,"""So I couldn't play movies"""
228,1,"""This computer is very heavy"""
229,1,"""The screen is cheap"""
230,1,"""Battery life is an insult (90 min at best)"""
231,1,"""As others noted, the fan rarely turns off and is as loud as a leaf blower (I can't take a nap with laptop on)"""
232,1,"""It's noisy, it's unreliable, and on a brand new battery you can get maybe 45 minutes of life"""
233,1,"""Want an airline adapter for cross country flights"""
234,1,"""The case is mysteriously cracked and the keys stick"""
235,1,"""About three months after I got it, it started shutting off whenever it wanted, more and more frequently, and the fan WILL NOT STOP, even when the CPU usage is below 3%"""
236,1,"""Now my warranty is up, same problem"""
237,1,"""Do you think that Compaq's customer service would help me or my family members that worked for them"""
238,1,"""Not only does it still shut off all the time, but the cd-drive is burnt to hell"""
239,1,"""The floppy drive wont work either"""
240,1,"""All I can do is type in MS Word for about an hour, thats it"""
241,2,"""4 months after I bought my presario it started shutting down suddenly and the fan went crazy"""
242,2,"""I can't play any gamez or use the modem for a longer period of time because the computer crashes"""
243,2,"""Overheating problems with any application"""
244,2,"""It's just standing on my desk and the fan works all the time"""
245,2,"""Use it only as a typewriter because buying a home cinema is more effective and cheaper in order to watch a DVD"""
246,2,"""This machine has been reliable for the last two years but the hard drive broke today"""
247,2,"""I know people have complained that this model Toshiba has broken down on them after only a few months of use but I still find it unacceptable that the hard drive world brake down and fail after only two years"""
248,2,"""Oh, and Toshiba customer support is the worst that I have ever experienced"""
249,2,"""Now, upon trying to boot it makes a horrible popping sound and shuts itself back off again"""
250,2,"""My recommendation would be to go with a little more expensive better quality machine"""
251,2,"""You don't have much money to spend"""
252,2,"""You don't care about its 45 mins battery life"""
253,2,"""You don't want to play any PC games"""
254,2,"""You don't care about irritating and nosiy Hard Disk"""
255,2,"""Uses a desktop Celeron processor (very cheap), not Mobile Celeron or Mobile Pentium"""
256,2,"""This means laptop will get very hot, its fan will be very noisy, will use too much power and have much lower performance"""
257,2,"""No USB 2_0, firewire or wirless access"""
258,2,"""Again this notebook won't have any fast performance with mp3 or multimedia stuff because of this"""
259,2,"""The keyboard isn't same a desktop, so keys are placed at different positions, some missing"""
260,2,"""Doesn't have older serial port, PS2 ports etc"""
261,2,"""But there's only on PCMCIA slot in it"""
262,2,"""All it has is a recovery CD to reformat the whole disk and re-install everything all over again & deleting all your data"""
263,2,"""The new battery lasts around 45 mins on full charge"""
264,2,"""Finally Toshiba doesn't make or design this laptop"""
265,2,"""I was compelled to buy this machine by all the reviews saying that it had a long battery life"""
266,2,"""I got 2hrs, 15 minutes just running a DVD"""
267,2,"""running normal programs"""
268,2,"""The only nice thing about this laptop is the colors"""
269,2,"""It matched the mouse"""
270,2,"""I cannot even find a backup battery except from Toshiba for"""
271,2,"""I would not waste my money on this computer again"""
272,1,"""Bads: The fan can be a bit noisy if you plan on leaving your computer on overnight"""
273,1,"""The size of the computer is terrible it weighs almost 10 pounds, so dont play on taking it anywhere before working out"""
274,1,"""And WORST of ALL, the fans are not strong enough for the big processor that Toshiba put in the computer"""
275,1,"""I talked to an Indian who I could barely understand and all she told me was that the only thing she could think it would be was a Defective Processor"""
276,2,"""Today it has locked up over and over again"""
277,2,"""There are not many 15"" notebooks in this price range, but HP has achieved this by using second-class components"""
278,2,"""The 15"" display is a low quality 1024x768 pixel display with a well over 45ms response time"""
279,2,"""You need at least a 25ms response time to avoid ""trails"" in games and other high frame rate applications"""
280,2,"""Not that you could play newer games with the Via ProSavage graphics chipset"""
281,2,"""This is fine for card games but don't get your hopes too high"""
282,2,"""Dell, and Gateway have good offerings in this price range as well"""
283,1,"""The power input jack came loose, and while wiggling around the cord in an attempt to mak a connection, teh computer suffered a small internal fire"""
284,2,"""At (less than) this price the HP Pavilion xt125 is a better choice"""
285,2,"""The main problems are:The ATI Rage graphics are weak and out of date (don't even try to run a new game on it)"""
286,2,"""The ATI MOBILITY RADEON 7500C is much faster and will even run 3D games smoothly"""
287,2,"""Again the floppy drive doesn't work and the DVD-ROM drive won't open"""
288,2,"""It came back (reset so all information was gone)"""
289,2,"""I've never gotten any games (even the low-end graphics ones) to work on here"""
290,2,"""I don't think that is just due to windows because I have other windows systems that have not had near as many viruses as this one"""
291,2,"""I think the only thing that's had me keeping this system is the floppy drive, since the newer computers don't have those"""
292,2,"""You won't get great tech support on it and you'll just gain more frustrations"""
293,1,"""I exchanged it for a new one (same model) and that one had a bad power supply"""
294,1,"""I went back again and exchanged it again, and the replacement had a defective screen"""
295,2,"""I had it fixed and less than a week later, it blew another hard drive"""
296,2,"""I am sick of Windows' unreliability, susceptibility to viruses and other problems, and the masking-tape-and-chewing-gum nature of patching together Windows machines just in order to make them function"""
297,2,"""BUT -- more to the point, the computer had inherent problems, first and foremost being the cheap desktop processor Toshiba uses (or used) in their lower-end laptops"""
298,2,"""This machine got incredibly hot and I was told this is probably what killed my first 2 hard drives"""
299,2,"""But ultimately -- not a good value -- at $1,200 I don't consider it a ""cheap"" machine by any means, and certainly not when compared to my (less expensive) iBook"""
300,1,"""Although the screen is large, the resolution is less than many 15 ' screens"""
301,1,"""The keyboard feels nice, but it simply quit working after about 4 months of lower-than-average use"""
302,1,"""In addition, wireless networking died"""
303,1,"""Three weeks after that, the keyboard died again"""
304,1,"""I took the machine to a different repair shop"""
305,1,"""They replaced the motherboard again, but the machine only lasted another couple of weeks before the keyboard went again"""
306,1,"""This time, I wiped the hard drive to eliminate any unseen driver conflicts"""
307,1,"""Unfortunately, the repair disks that Toshiba sent me were bad and, after 1/2 hour of babysitting a system install, I discovered the machine wouldn't boot at all"""
308,1,"""Toshiba made me pay $10 for another set of boot disks, then shipped them to the wrong address"""
309,1,"""Two weeks later, I got them and reinstalled the system, took the machine back to the repairshop, and had the keyboard itself replaced"""
310,1,"""At least this time, they figured out the mouse pad"""
311,1,"""After just a week now, the keyboard is again dead"""
312,1,"""I'm looking at four repair tickets on a machine that frankly gets light use"""
313,2,"""After an hr of demanding use like a movie and you may as boil you eggs on it"""
314,2,"""technology from AMD"""
315,2,"""The keyboard was certainly designed by"""
316,2,"""10 keys on bottom row, out of which only 4 were really needed"""
317,2,"""To top it all off the whole thing shakes when typing & looks like some buttons would surely break off"""
318,2,"""The scroll pad and touchpad buttons again are designed to looks good but have no usability"""
319,2,"""The up/down keys are easier to use than the junk ovalpad"""
320,2,"""Only one PCMCIA card slot, not 2 as in most laptops"""
321,2,"""All HPpaq 9xxus models have a shared memory ATI integrated graphics will max 3DMark2001 score of 1500 (no matter how faster athlon is or how much RAM you put in)"""
322,2,"""Although screen is bright enough"""
323,2,"""The case is actually designed for a 15"" screen and if get a 14"" version you unncessarily carry bigger laptop around"""
324,2,"""Yes that true, they bundled 12+ nasty promotional programs for which no one has any use"""
325,2,"""Finally all useful ports are at the back and covered by clumsy cover"""
326,2,"""Two stars because it costs under 800 after rebates in some local stores and because it runs"""
327,1,"""After it was fixed, it keeps corrupting window XP OS"""
328,1,"""Calling support and service was no help, their standard anwser is to poush the restore button"""
329,2,"""Let me start off with the positive, it is a very fast machine capable running most (if not all) your application needs"""
330,2,"""The display is beautiful, small laptop screens hurt my eyes after a while"""
331,2,"""Everything but the modem will work perfect under Linux, I'm running Gentoo 1_4 right now"""
332,2,"""As for the negative aspects, the battery life sucks"""
333,2,"""Now it doesn't seem to accept a charge as good anymore so I'm down to 1 hour"""
334,2,"""There is a lot of garbage software pre-installed but a simple FORMAT C: solves that problem quickly :)"""
335,2,"""The computer gets extremely hot and doesn't have a big enough fan to keep it cool so it shuts down on its own once and a while"""
336,2,"""After I got it back It was all perfect, although It is the most noisy laptop I've ever seen, I enjoyed watching DVDs on this great screen"""
337,2,"""I have no idea of how to fix it"""
338,1,"""Then i updated to Vista AS PART of the SALES pitch that Vista would be a free upgrade"""
339,1,"""It was not a normal bootable DVD, was only 32-bit (retail discs offer both 32-bit and 64-bit installers) and it installed a few old-dated drivers to make the Sony features Vista-compatible"""
340,1,"""- Noisier fan, as a consequence"""
341,1,"""- The web cam was invisible to Vista in all ways except being listed in the device manager as ""working properly"""
342,1,"""- The fan started rattling"""
343,1,"""The design of the machine means that all dust, hair, dirt etc"""
344,1,"""gets sucked into the machine, clogs the fan and the heat sinks and increases heat and causes cooling problems"""
345,1,"""- The battery lifespan decreased suddenly"""
346,1,"""The battery always ran very hot, too"""
347,1,"""There's been no support from Sony for this laptop since the Vista DVD came"""
348,1,"""No driver updates, no firmware updates, no BIOS updates"""
349,1,"""Yet, there have been new drivers and software for other VAIO machines that came out AFTER MINE, using the SAME chipsets"""
350,1,"""There's no reason why they cannot add these updates to my model"""
351,1,"""If i attempt to download and install these updates for other machines, the installer tells me that i have the wrong machine and aborts"""
352,1,"""- Sometimes networking would still be ""active"" and Windows would indicate there were networks available but would not locate any when asked"""
353,1,"""Half the OS did one thing and half did another, depending on the Sony drivers vs"""
354,1,"""the Microsoft software"""
355,1,"""- The Wireless Switch Utility did not function properly with Vista's built in wireless management"""
356,1,"""i do audio/graphics work and a noisy machine with a tiny hard drive was a hindrance"""
357,1,"""after all of that hassle, i have a machine that spontaneously shuts off after about 30 minutes"""
358,1,"""i cannot even install Windows"""
359,1,"""Sadly, most of my pro audio and graphics software investment is Windows-based, not Mac-based"""
360,1,"""i found this page you're reading right now by searching Google for ""Sony VAIO VGN SZ shuts off spontaneously"""""
361,1,"""There have been several battery recalls in the past for heat problems (the Apple batteries with the same problems were apparently manufactured by Sony), but i did not have this problem (just ridiculous heat that seemed dangerous but never started a fire)"""
362,1,"""it shut down twice in less than an hour"""
363,1,"""If you take those three into account, you rule out 99% of the settings where a laptop would be of any use"""
364,1,"""I contacted their customer support a couple of times and they were helplessly hopeless -- or hopelessly helpless"""
365,1,"""They basically ask you to reset the bios"""
366,1,"""my laptop shuts off due to overheating"""
367,1,"""My complaints are similar to most of those already posted - the biggest being that the computer just shuts down any time I try to use it for anything other than checking email or typing a Word document"""
368,1,"""I can't even burn a single CD without it turning itself off after getting through one or two songs"""
369,1,"""I paid way too much money for this thing for it to be this worthless"""
370,2,""">no floppy drive>VERY slow hard disk"""
371,2,""">No serial port>4-pin IEEE-1394 provides no power"""
372,1,"""It has SERIOUS problems with overheating, I cannot run the CD/DVD for more than 30 minutes without the computer just turning itself off"""
373,1,"""however, it quickly broke down, and because Sharp won't sell parts directly to the public, you have to send the computer in to a service center where you pay an arm and a leg for a simple repair"""
374,1,"""Second, I wouldn't recommend purchasing a Sharp product which you expect to last more than the warranty period"""
375,2,"""The Compaq Presario 906US can't quite compare to the HP xt125 (same price) or the Toshiba Satellite 1415-S105 (cost just about 10% more)"""
376,1,"""and display(it is bright but not clear) isn't so good compared to other brands"""
377,2,"""Compaq's customer service does not know who their authorized repair centers are (I called their number listed on an email response which was not toll free, but they do have a toll free #)and they want you to mail it in to them for repair"""
378,2,"""If you need USB ports that work well, don't buy this machine"""
379,2,"""Contrary to the technical data presented here, this product does NOT ship with ATI's Mobility Radeon 7500C video board"""
380,2,"""The video board is instead ATI's Radeon IGP 340M, which is based on an old Radeon technology (for a comparison between Mobility Radeon and Mobility Radeon 7500 see the site tomshardware"""
381,2,"""For those interested in playing new 3D games, this is a no-no"""
382,2,"""The fan is also particularly loud and annoying"""
383,2,"""The only + goes to its sleek design"""
384,2,"""The biggest problem was that it only had two USB ports, and one of them was intermittent/broken on my unit"""
385,2,"""The loud fan is almost always on and interferes with audio and recording"""
386,1,"""They returned it to me and it worked fine until the AC adpater suffered a short circut and died two months after I had gotten my screen fixed"""
387,1,"""And the warrenty manufactuer GE will not honor their warrenties and will try to accuse you of purposely causing damage to your computer"""
388,1,"""The motherboard on this machine, which has been sparingly used since it was purchased in October 2002, failed in November 2003, a date approximately one month after the expiration of the manufacturer's warranty"""
389,1,"""And, sadly, I must join the list of owners who had one just die--completely die--on them soon after the warranty expired"""
390,2,"""I will give it 2 stars because luckily it crashed within its warranty (unluckily 2 weeks before exams"""
391,2,""") and the tech support people were helpful and I can send it for repairs for free"""
392,1,"""This laptop's hard disk/IDE controller/Combo drive collude together to prevent lots of normal things from happenning"""
393,1,"""Like installation of many softwares from back up copies"""
394,1,"""Troubles wth DVD's and digital media"""
395,1,"""The mouse touch pad doesn't work properly and when I type, some letters don't register"""
